Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B163802,12/09/2016,,,600 Block Of Spruce Street,94118,2,Presidio Heights,"37.7828772928678, -122.453478866439"
B163805,12/09/2016,,,200 Block Of Chattanooga Street,94114,8,Noe Valley,"37.7525693952161, -122.426336372717"
B163806,12/09/2016,,,700 Block Of 20th Avenue,94121,1,Outer Richmond,"37.7737446918116, -122.478973407656"
B163798,12/08/2016,,,600 Block Of Ofarrell Street,94109,6,Tenderloin,"37.7854364797916, -122.415336129165"
B163799,12/08/2016,,,1200 Block Of California Street,94109,3,Nob Hill,"37.7913656229913, -122.414939768109"
B163791,12/07/2016,,,3600 Block Of 17th Street,94114,8,Castro/Upper Market,"37.7628765969447, -122.427832473413"
B163794,12/07/2016,"$30,000.00",5,100 Block Of Farallones Street,94112,11,Oceanview/Merced/Ingleside,"37.7140111161144, -122.457547776797"
B163795,12/07/2016,"$50,000.00",1,100 Block Of Nueva Avenue,94134,10,Bayview Hunters Point,"37.7121182083661, -122.397069395275"
B163796,12/07/2016,,,500 Block Of Union Street,94133,3,North Beach,"37.8005116153417, -122.408173937518"
B163797,12/07/2016,,,500 Block Of Union Street,94133,3,North Beach,"37.8005116153417, -122.408173937518"
B163801,12/07/2016,,,1500 Block Of Mcallister Street,94115,5,Western Addition,"37.7779545304876, -122.43754201259"
B163789,12/06/2016,,,1700 Block Of Pacific Avenue,94109,2,Pacific Heights,"37.7947665564567, -122.424060519074"
B163790,12/06/2016,,,0 Block Of Lower Terrace,94114,8,Castro/Upper Market,"37.762935029682, -122.441496998754"
B163792,12/06/2016,,,2100 Block Of 48th Avenue,94116,4,Sunset/Parkside,"37.7463439169031, -122.507025809899"
B163729,12/05/2016,,,400 Block Of Monterey Boulevard,94127,7,West of Twin Peaks,"37.7316567198149, -122.44544949442"
B163726,12/02/2016,,,1200 Block Of 16th Avenue,94122,5,Inner Sunset,"37.7646448856754, -122.474048286854"
B163728,12/02/2016,,,0 Block Of Sonoma Street,94133,3,North Beach,"37.8003106282127, -122.406381656295"
B163724,12/01/2016,,,2500 Block Of 33rd Avenue,94116,4,Sunset/Parkside,"37.7395952736116, -122.490427955786"
B163725,12/01/2016,,,1000 Block Of Plymouth Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7209393876043, -122.456206635817"
B163722,11/30/2016,,,1000 Block Of Masonic Avenue,94117,5,Haight Ashbury,"37.7716194931901, -122.44555757424"
