Date_Filed,Filing_Party,Appeal_ID,Hardship_Appeal,Interpreter_Request,Address,Appeal_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
12/31/2009,tenant,AT090276,false,false,800 Block Of Leavenworth Street,94109,3,Nob Hill,"(37.7888452666742, -122.415346949038)"
07/06/1999,tenant,T002-07R,false,false,800 Block Of Turk Street,94102,5,Western Addition,"(37.7815854030908, -122.423090189161)"
03/26/2004,landlord,AL040028,false,false,3000 Block Of Sacramento Street,94115,2,Pacific Heights,"(37.7887296948612, -122.443129710881)"
11/27/2000,landlord,AL2K0219,false,false,100 Block Of Tiffany Avenue,94110,8,Bernal Heights,"(37.7452607745731, -122.42122878628)"
01/02/2009,tenant,AT090030,false,false,500 Block Of John Muir Drive,94132,7,Lakeshore,"(37.7143348140478, -122.492047872131)"
08/28/2002,tenant,AT020338,false,false,0 Block Of Garces Drive,94132,7,Lakeshore,"(37.7151948457584, -122.478943773295)"
09/27/2006,tenant,AT060099,false,false,500 Block Of Battery Street,94111,3,Financial District/South Beach,"(37.7963352487759, -122.400515222852)"
10/04/1999,landlord,U001-30A,false,false,2000 Block Of Mission Street,94110,9,Mission,"(37.7642361186929, -122.419659842202)"
08/28/2002,tenant,AT020344,false,false,0 Block Of Gonzalez Drive,94132,7,Lakeshore,"(37.719887769292, -122.475586274624)"
04/08/2016,tenant,AT160047,false,false,500 Block Of Eddy Street,94109,6,Tenderloin,"(37.7833590026313, -122.416694943696)"
06/24/1998,tenant,S002-07R,false,false,1500 Block Of Bay Street,94123,2,Marina,"(37.803216045473, -122.4325146308)"
11/24/1998,landlord,T001-27A,false,false,1300 Block Of Alabama Street,94110,9,Mission,"(37.7502951936828, -122.410665376341)"
09/19/2011,tenant,AT110088,false,false,600 Block Of Hayes Street,94102,5,Hayes Valley,"(37.7764132198929, -122.427099517756)"
12/02/2011,tenant,AT110111,true,false,0 Block Of Henry Street,94114,8,Castro/Upper Market,"(37.766783888389, -122.432228457108)"
02/07/2012,landlord,AL120014,false,false,4700 Block Of Geary Boulevard,94118,1,Inner Richmond,"(37.7806274379534, -122.470163577152)"
08/27/2001,landlord,AL010143,false,false,400 Block Of Sanchez Street,94114,8,Castro/Upper Market,"(37.7615591121713, -122.430542885332)"
06/04/2004,landlord,AL040079,false,false,0 Block Of Castello Avenue,94132,7,Lakeshore,"(37.7174069966896, -122.474808966264)"
11/03/2005,tenant,AT050237,false,false,600 Block Of Hyde Street,94109,6,Tenderloin,"(37.7867864400119, -122.416475579928)"
02/08/2011,tenant,AT110010,true,true,0 Block Of Keyes Alley,94133,3,Chinatown,"(37.7966127048881, -122.410475478961)"
02/08/2011,tenant,AT110009,true,true,0 Block Of Keyes Alley,94133,3,Chinatown,"(37.7966127048881, -122.410475478961)"
08/18/2003,tenant,AT030285,false,false,300 Block Of Buchanan Street,94102,5,Hayes Valley,"(37.7727724969859, -122.427141201971)"
07/28/2011,tenant,AT110078,true,false,0 Block Of Keyes Alley,94133,3,Chinatown,"(37.7966127048881, -122.410475478961)"
10/31/2008,tenant,AT080108,false,false,200 Block Of Castro Street,94114,8,Castro/Upper Market,"(37.7645185040777, -122.435287518203)"
04/24/1997,landlord,R001-55A,false,false,500 Block Of 36th Avenue,94121,1,Outer Richmond,"(37.7785861435204, -122.496520722055)"
11/28/2000,tenant,AT2K0221,false,false,700 Block Of Geary Street,94109,6,Tenderloin,"(37.786360791167, -122.415616900342)"
09/13/2001,landlord,AL010145,false,false,3300 Block Of Pierce Street,94123,2,Marina,"(37.8007192484363, -122.439467974969)"
07/11/2002,tenant,AT020149,false,false,1500 Block Of Bay Street,94123,2,Marina,"(37.803216045473, -122.4325146308)"
07/27/2011,landlord,AL110077,false,false,0 Block Of Mirabel Avenue,94110,9,Bernal Heights,"(37.7465186155341, -122.416516157832)"
01/10/2002,tenant,AT020023,false,false,1500 Block Of Bay Street,94123,2,Marina,"(37.803216045473, -122.4325146308)"
09/22/1997,tenant,S001-37R,false,false,700 Block Of 29th Avenue,94121,1,Outer Richmond,"(37.7751770861329, -122.488604396838)"
12/13/2000,tenant,AT2K0242,false,false,500 Block Of Mason Street,94102,3,Nob Hill,"(37.7885578117649, -122.410081316498)"
06/07/2004,tenant,AT040064,false,false,400 Block Of Ofarrell Street,94102,6,Tenderloin,"(37.7858903309874, -122.411725719958)"
03/15/2002,tenant,AT020091,false,false,2200 Block Of Polk Street,94109,3,Russian Hill,"(37.7976064901778, -122.422033548858)"
02/23/2005,tenant,AT050089,false,false,1500 Block Of Bay Street,94123,2,Marina,"(37.803216045473, -122.4325146308)"
01/03/2011,tenant,AT110001,false,false,900 Block Of Pacific Avenue,94133,3,Chinatown,"(37.7963644947426, -122.410690629988)"
12/11/2002,tenant,AT020601,false,false,600 Block Of John Muir Drive,94132,7,Lakeshore,"(37.7143348140478, -122.492047872131)"
01/19/2012,tenant,AT120007,false,false,3300 Block Of Sacramento Street,94118,2,Presidio Heights,"(37.7880275515357, -122.447804473665)"
06/30/2011,landlord,AL110072,false,false,700 Block Of Andover Street,94110,9,Bernal Heights,"(37.7344123226625, -122.416936686118)"
01/28/2010,tenant,AT100010,false,false,700 Block Of Pacific Avenue,94133,3,Chinatown,"(37.7968082634277, -122.408035995378)"
04/13/2009,tenant,AT090119,false,false,4200 Block Of Irving Street,94122,4,Sunset/Parkside,"(37.7624583434233, -122.503383985194)"
11/28/2011,landlord,AL110109,false,false,300 Block Of Naples Street,94112,11,Excelsior,"(37.7231477227268, -122.429372233815)"
11/20/2000,landlord,AL2K0220,false,false,500 Block Of 29th Avenue,94121,1,Outer Richmond,"(37.7789280623707, -122.489013595008)"
08/16/2005,tenant,AT050218,false,false,1800 Block Of Jackson Street,94109,2,Pacific Heights,"(37.7936758445754, -122.425525660428)"
08/28/2002,tenant,AT020416,false,false,0 Block Of Castelo Avenue,94132,7,Lakeshore,"(37.7174069966896, -122.474808966264)"
