Date,Location
01/26/2017,"37.7124867386895, -122.406905871827"
01/30/2017,"37.7627443614381, -122.41983431806"
01/09/2017,"37.7990163406752, -122.428290722359"
01/17/2017,"37.7783959957492, -122.500662141899"
01/26/2017,"37.8033908289088, -122.415683516689"
01/06/2017,"37.7835654759009, -122.415051136713"
01/19/2017,"37.7466416102933, -122.430297545767"
01/12/2017,"37.7823055197523, -122.449625745105"
01/26/2017,"37.7563058754319, -122.417666463719"
01/11/2017,"37.787369215724, -122.442080900934"
01/25/2017,"37.7622538589248, -122.505519518857"
01/09/2017,"37.7386445602615, -122.413268253615"
01/20/2017,"37.7331945070199, -122.38870225322"
01/11/2017,"37.7435624340364, -122.485331777458"
01/17/2017,"37.7917005142777, -122.408344612354"
01/03/2017,"37.7647847703925, -122.459989358388"
01/25/2017,"37.7932824231787, -122.407341354714"
01/23/2017,"37.7600871872744, -122.428309267837"
02/13/2017,"37.7743084136632, -122.485928979853"
02/24/2017,"37.7548939615243, -122.482897839039"
02/21/2017,"37.7190470338065, -122.403385740564"
02/02/2017,"37.7791756018211, -122.483662765925"
02/16/2017,"37.7859419709797, -122.408012730778"
02/17/2017,"37.8000315502895, -122.412037571242"
02/10/2017,"37.8068062375875, -122.411308750781"
02/15/2017,"37.7329556345412, -122.387590806567"
02/02/2017,"37.7196891287171, -122.393876589377"
02/06/2017,"37.775532581855, -122.40748636485"
02/09/2017,"37.7850094893113, -122.41871380798"
02/09/2017,"37.7534063007572, -122.454061829425"
02/15/2017,"37.7089054045546, -122.456844245249"
02/21/2017,"37.7883094244393, -122.442271757435"
02/24/2017,"37.7377199866099, -122.426819638555"
02/09/2017,"37.7174986906088, -122.406313445782"
02/13/2017,"37.7162110911155, -122.476577225411"
02/09/2017,"37.7652067507312, -122.426591617441"
02/10/2017,"37.7883158693016, -122.411855467011"
02/02/2017,"37.7828772928678, -122.453478866439"
02/17/2017,"37.7133320723421, -122.403313250416"
01/25/2017,"37.7725271142932, -122.505610028752"
02/01/2017,"37.7455746001843, -122.406597708037"
02/02/2017,"37.7438450988551, -122.478900980463"
02/06/2017,"37.7915456902178, -122.420036604562"
02/03/2017,"37.7840683016871, -122.460272496272"
02/06/2017,"37.7746309837593, -122.427520206353"
02/01/2017,"37.7838517142373, -122.484469609587"
02/15/2017,"37.7329556345412, -122.387590806567"
02/17/2017,"37.7300297215799, -122.387395567646"
02/24/2017,"37.7763023356877, -122.504953449594"
02/15/2017,"37.7719485300603, -122.431252160406"
01/31/2017,"37.7169988801823, -122.471554113869"
02/15/2017,"37.7806601476196, -122.431293406332"
02/15/2017,"37.7898218849516, -122.441651789516"
01/31/2017,"37.7200829722209, -122.44385735159"
02/24/2017,"37.7562145111193, -122.433443826196"
02/16/2017,"37.7300297215799, -122.387395567646"
02/24/2017,"37.7184868315555, -122.48388985646"
02/08/2017,"37.7461811270685, -122.488267468855"
02/08/2017,"37.7719485300603, -122.431252160406"
02/13/2017,
02/08/2017,"37.7941169712809, -122.418092385713"
02/16/2017,"37.7480783043548, -122.41703818925"
02/22/2017,"37.735852648999, -122.4369150875"
02/06/2017,"37.8055542733355, -122.410285576516"
02/13/2017,"37.7601552022345, -122.490789575412"
02/21/2017,"37.7208124629139, -122.433336306438"
02/10/2017,"37.7578569158841, -122.388776657105"
02/21/2017,"37.7778637474939, -122.422332366495"
02/23/2017,"37.7932824231787, -122.407341354714"
02/24/2017,"37.7707967642475, -122.441188742603"
02/10/2017,"37.7640801204343, -122.403538780176"
02/24/2017,"37.7624845770688, -122.428538964471"
02/16/2017,"37.7568487759054, -122.408644241138"
02/15/2017,"37.7224256100655, -122.439619315447"
02/17/2017,"37.7300297215799, -122.387395567646"
02/06/2017,"37.7746309837593, -122.427520206353"
02/24/2017,"37.7548939615243, -122.482897839039"
02/13/2017,
02/21/2017,"37.7435624340364, -122.485331777458"
02/09/2017,"37.7089054045546, -122.456844245249"
02/10/2017,"37.7567806311082, -122.422218844154"
02/10/2017,"37.7703725074906, -122.444508010654"
02/03/2017,"37.7087983077137, -122.417075712065"
02/23/2017,"37.7346752560911, -122.494982314133"
02/10/2017,"37.779080776227, -122.485668400043"
02/23/2017,"37.7621392189522, -122.429547024101"
02/02/2017,"37.7627003582331, -122.420562762663"
02/24/2017,"37.7707967642475, -122.441188742603"
02/13/2017,"37.7365648335787, -122.506185260555"
02/06/2017,"37.7873847162704, -122.411675565775"
02/02/2017,"37.7480783043548, -122.41703818925"
02/21/2017,"37.7831387144803, -122.425928739669"
02/15/2017,"37.7173821578052, -122.479280369356"
01/12/1998,"37.7581042107699, -122.421163821355"
02/24/2017,"37.7184868315555, -122.48388985646"
02/10/2017,"37.7625397137753, -122.479132257039"
02/06/2017,"37.7563421167615, -122.454841188052"
02/21/2017,"37.7194483274814, -122.483012514512"
02/06/2017,"37.7581042107699, -122.421163821355"
02/08/2017,"37.7435644416813, -122.505284356026"
02/09/2017,"37.7534063007572, -122.454061829425"
02/24/2017,"37.7389701398971, -122.410737151214"
02/13/2017,
02/13/2017,"37.7868785026124, -122.419088531076"
02/21/2017,"37.7909306098255, -122.409788680072"
02/24/2017,"37.7532946630623, -122.434209231153"
02/06/2017,"37.712375721717, -122.449071557676"
02/17/2017,"37.7643402052422, -122.500288341261"
02/14/2017,"37.7671355315937, -122.437743157864"
02/22/2017,"37.7972500224417, -122.426247618803"
02/09/2017,"37.7575665847822, -122.410980668172"
02/13/2017,"37.7316675195671, -122.484400316264"
02/09/2017,"37.7442455261144, -122.424271953008"
02/17/2017,"37.7523514547128, -122.415713588442"
02/09/2017,"37.7742233832718, -122.436786554097"
02/13/2017,
12/14/2016,"37.7122527740993, -122.457529574852"
02/16/2017,"37.7143591435515, -122.463051533548"
02/02/2017,"37.7438450988551, -122.478900980463"
02/15/2017,"37.7838517142373, -122.484469609587"
02/16/2017,"37.7216809302984, -122.43893569118"
02/08/2017,"37.7498175676417, -122.432828272657"
02/01/2017,"37.7630173477269, -122.448110384832"
02/02/2017,"37.7554620604925, -122.489992696312"
02/23/2017,"37.7346752560911, -122.494982314133"
02/06/2017,
02/24/2017,"37.735852648999, -122.4369150875"
02/14/2017,"37.7306214926081, -122.397084855967"
02/15/2017,"37.7277278992428, -122.397611276095"
02/06/2017,"37.7875021794721, -122.452780220848"
02/09/2017,"37.7568901705426, -122.422229305499"
02/06/2017,"37.7627443614381, -122.41983431806"
02/24/2017,"37.7638872214346, -122.49118875513"
02/27/2017,"37.7191183784423, -122.48048461062"
02/27/2017,"37.7883094244393, -122.442271757435"
02/27/2017,"37.740237703245, -122.423273548336"
02/27/2017,"37.715545052959, -122.473629919957"
02/28/2017,"37.7820328554295, -122.463211510027"
02/28/2017,"37.7849531019212, -122.481929274939"
02/27/2017,"37.7741879006311, -122.469228773453"
02/28/2017,"37.7534815567767, -122.411110362482"
02/28/2017,"37.7307586688814, -122.445436285498"
02/28/2017,"37.7307586688814, -122.445436285498"
02/27/2017,"37.74388594083, -122.477970593173"
02/27/2017,"37.7581042107699, -122.421163821355"
02/27/2017,"37.7588273855402, -122.409632005604"
02/27/2017,"37.7098667902447, -122.430928538856"
02/27/2017,"37.7741879006311, -122.469228773453"
02/27/2017,"37.7284340203193, -122.386011314652"
02/27/2017,"37.778728241984, -122.493301622753"
02/27/2017,"37.7165897609959, -122.479653758953"
02/28/2017,"37.735446184716, -122.396787161781"
02/28/2017,
02/27/2017,"37.785559970984, -122.416226912541"
02/27/2017,"37.7162110911155, -122.476577225411"
02/27/2017,"37.7174171051096, -122.480660975268"
02/28/2017,"37.7849531019212, -122.481929274939"
02/27/2017,"37.7205844553245, -122.48126060959"
02/27/2017,"37.7763047596201, -122.427077545475"
02/27/2017,"37.7954950656069, -122.421607115221"
02/27/2017,"37.7377199866099, -122.426819638555"
03/20/2017,"37.7781106106522, -122.465208632211"
04/11/2017,"37.7761874844816, -122.439682038399"
04/07/2017,"37.7147161424288, -122.409982529545"
03/03/2017,"37.7652067507312, -122.426591617441"
03/08/2017,"37.7789280623707, -122.489013595008"
03/06/2017,"37.8009158810869, -122.413492014328"
04/03/2017,"37.7584489528913, -122.445336585216"
03/14/2017,"37.7092363465801, -122.434478338067"
03/06/2017,"37.8038310510389, -122.412205194331"
03/09/2017,"37.7713406312142, -122.425160672005"
04/18/2017,"37.7736721216367, -122.444378730504"
03/03/2017,"37.7143246447853, -122.467545897485"
03/09/2017,"37.7742886988174, -122.508025371747"
03/24/2017,"37.7935066497641, -122.433922047772"
03/21/2017,"37.7526294948494, -122.43191619904"
03/15/2017,"37.7379270809875, -122.505928319678"
03/06/2017,"37.7770415007995, -122.422165133806"
03/02/2017,"37.7133320723421, -122.403313250416"
06/16/1997,"37.8023528104565, -122.407995636498"
04/26/2017,"37.7322677230749, -122.396274531646"
04/10/2017,"37.7383172637812, -122.499533373129"
03/21/2017,"37.793867688076, -122.412988468733"
04/20/2017,
03/06/2017,"37.7333453278261, -122.483774152244"
03/06/2017,
03/31/2017,"37.7732554616142, -122.4896787335"
03/31/1998,
04/14/2017,"37.8011433372806, -122.415457652362"
03/03/2017,"37.7774997279424, -122.410999269254"
04/28/2017,"37.7870450615042, -122.420042095217"
03/10/2017,"37.7782835911436, -122.407449015525"
08/21/2013,"37.7610336313872, -122.431678286164"
04/20/2017,"37.7525276226507, -122.414634473469"
03/09/2017,"37.7738817367709, -122.46216273771"
